sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;34.5;White;*;Undergraduate;North America;State-gov;Adm-clerical;<=50K
Male;44.5;White;*;Undergraduate;North America;Self-emp-not-inc;Exec-managerial;<=50K
Male;34.5;White;*;High School;North America;Private;Handlers-cleaners;<=50K
Male;54.5;Black;*;High School;North America;Private;Handlers-cleaners;<=50K
Female;27.5;Black;*;Undergraduate;North America;Private;Prof-specialty;<=50K
Female;34.5;White;*;Graduate;North America;Private;Exec-managerial;<=50K
Female;44.5;Black;*;High School;North America;Private;Other-service;<=50K
Male;54.5;White;*;High School;North America;Self-emp-not-inc;Exec-managerial;>50K
Female;34.5;White;*;Graduate;North America;Private;Prof-specialty;>50K
Male;44.5;White;*;Undergraduate;North America;Private;Exec-managerial;>50K
Male;34.5;Black;*;Undergraduate;North America;Private;Exec-managerial;>50K
Male;27.5;Asian-Pac-Islander;*;Undergraduate;Asia;State-gov;Prof-specialty;>50K
Female;27.5;White;*;Undergraduate;North America;Private;Adm-clerical;<=50K
Male;34.5;Black;*;Professional Education;North America;Private;Sales;<=50K
Male;34.5;Amer-Indian-Eskimo;*;High School;North America;Private;Transport-moving;<=50K
Male;27.5;White;*;High School;North America;Self-emp-not-inc;Farming-fishing;<=50K
Male;34.5;White;*;High School;North America;Private;Machine-op-inspct;<=50K
Male;34.5;White;*;High School;North America;Private;Sales;<=50K
Female;44.5;White;*;Graduate;North America;Self-emp-not-inc;Exec-managerial;>50K
Male;34.5;White;*;Graduate;North America;Private;Prof-specialty;>50K
Female;54.5;Black;*;High School;North America;Private;Other-service;<=50K
Male;34.5;Black;*;High School;North America;Federal-gov;Farming-fishing;<=50K
Male;44.5;White;*;High School;North America;Private;Transport-moving;<=50K
Female;54.5;White;*;High School;North America;Private;Tech-support;<=50K
Male;54.5;White;*;Undergraduate;North America;Local-gov;Tech-support;>50K
Male;19.5;White;*;High School;North America;Private;Craft-repair;<=50K
Male;34.5;White;*;High School;North America;Private;Exec-managerial;<=50K
Male;44.5;White;*;High School;North America;Private;Craft-repair;<=50K
Male;27.5;White;*;Professional Education;North America;Local-gov;Protective-serv;<=50K
Male;19.5;Black;*;Undergraduate;North America;Private;Sales;<=50K
Male;44.5;White;*;Undergraduate;North America;Private;Exec-managerial;<=50K
Male;27.5;White;*;Undergraduate;North America;Federal-gov;Adm-clerical;<=50K
Male;27.5;Black;*;Undergraduate;North America;State-gov;Other-service;<=50K
Male;44.5;White;*;High School;North America;Private;Machine-op-inspct;<=50K
Male;27.5;White;*;Undergraduate;North America;Private;Machine-op-inspct;<=50K
Female;19.5;White;*;High School;North America;Private;Adm-clerical;<=50K
Male;44.5;White;*;Professional Education;North America;Self-emp-not-inc;Prof-specialty;<=50K
Male;34.5;White;*;High School;North America;Private;Machine-op-inspct;<=50K
Male;54.5;White;*;Undergraduate;North America;Self-emp-not-inc;Prof-specialty;<=50K
Male;27.5;White;*;Undergraduate;North America;Private;Tech-support;<=50K
Female;44.5;White;*;High School;North America;Private;Adm-clerical;<=50K
Male;27.5;White;*;High School;North America;Private;Handlers-cleaners;<=50K
Male;54.5;Black;*;Undergraduate;North America;Federal-gov;Prof-specialty;>50K
Male;54.5;White;*;High School;North America;Private;Machine-op-inspct;<=50K
Female;44.5;White;*;Graduate;North America;Private;Exec-managerial;<=50K
Male;44.5;White;*;Professional Education;North America;State-gov;Craft-repair;<=50K
Male;27.5;White;*;Professional Education;North America;Private;Prof-specialty;<=50K
Female;27.5;Other;*;Undergraduate;North America;Private;Exec-managerial;<=50K
Female;44.5;White;*;Professional Education;North America;Private;Prof-specialty;>50K
Male;44.5;White;*;Undergraduate;North America;Federal-gov;Exec-managerial;>50K
Male;44.5;White;*;High School;North America;Self-emp-inc;Exec-managerial;<=50K
Male;44.5;White;*;Undergraduate;North America;Private;Tech-support;>50K
Male;44.5;White;*;Primary School;North America;Private;Machine-op-inspct;<=50K
Male;34.5;White;*;Professional Education;North America;Private;Other-service;<=50K
Male;44.5;White;*;High School;North America;Private;Adm-clerical;<=50K
