sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;39;White;spouse not present;Undergraduate;United-States;State-gov;Other;<=50K
Male;50;White;spouse present;Undergraduate;United-States;Self-emp-not-inc;Nontechnical;<=50K
Male;38;White;spouse not present;High School;United-States;Private;Nontechnical;<=50K
Male;53;Black;spouse present;High School;United-States;Private;Nontechnical;<=50K
Female;28;Black;spouse present;Undergraduate;Cuba;Private;Technical;<=50K
Female;37;White;spouse present;Graduate;United-States;Private;Nontechnical;<=50K
Female;49;Black;spouse not present;High School;Jamaica;Private;Other;<=50K
Male;52;White;spouse present;High School;United-States;Self-emp-not-inc;Nontechnical;>50K
Female;31;White;spouse not present;Graduate;United-States;Private;Technical;>50K
Male;42;White;spouse present;Undergraduate;United-States;Private;Nontechnical;>50K
Male;37;Black;spouse present;Undergraduate;United-States;Private;Nontechnical;>50K
Male;30;Asian-Pac-Islander;spouse present;Undergraduate;India;State-gov;Technical;>50K
Female;23;White;spouse not present;Undergraduate;United-States;Private;Other;<=50K
Male;32;Black;spouse not present;Professional Education;United-States;Private;Nontechnical;<=50K
Male;34;Amer-Indian-Eskimo;spouse present;High School;Mexico;Private;Other;<=50K
Male;25;White;spouse not present;High School;United-States;Self-emp-not-inc;Other;<=50K
Male;32;White;spouse not present;High School;United-States;Private;Technical;<=50K
Male;38;White;spouse present;High School;United-States;Private;Nontechnical;<=50K
Female;43;White;spouse not present;Graduate;United-States;Self-emp-not-inc;Nontechnical;>50K
Male;40;White;spouse present;Graduate;United-States;Private;Technical;>50K
Female;54;Black;spouse not present;High School;United-States;Private;Other;<=50K
Male;35;Black;spouse present;High School;United-States;Federal-gov;Other;<=50K
Male;43;White;spouse present;High School;United-States;Private;Other;<=50K
Female;59;White;spouse not present;High School;United-States;Private;Technical;<=50K
Male;56;White;spouse present;Undergraduate;United-States;Local-gov;Technical;>50K
Male;19;White;spouse not present;High School;United-States;Private;Technical;<=50K
Male;39;White;spouse not present;High School;United-States;Private;Nontechnical;<=50K
Male;49;White;spouse present;High School;United-States;Private;Technical;<=50K
Male;23;White;spouse not present;Professional Education;United-States;Local-gov;Other;<=50K
Male;20;Black;spouse not present;Undergraduate;United-States;Private;Nontechnical;<=50K
Male;45;White;spouse not present;Undergraduate;United-States;Private;Nontechnical;<=50K
Male;30;White;spouse present;Undergraduate;United-States;Federal-gov;Other;<=50K
Male;22;Black;spouse present;Undergraduate;United-States;State-gov;Other;<=50K
Male;48;White;spouse not present;High School;Puerto-Rico;Private;Technical;<=50K
Male;21;White;spouse not present;Undergraduate;United-States;Private;Technical;<=50K
Female;19;White;spouse present;High School;United-States;Private;Other;<=50K
Male;48;White;spouse present;Professional Education;United-States;Self-emp-not-inc;Technical;<=50K
Male;31;White;spouse present;High School;United-States;Private;Technical;<=50K
Male;53;White;spouse present;Undergraduate;United-States;Self-emp-not-inc;Technical;<=50K
Male;24;White;spouse present;Undergraduate;United-States;Private;Technical;<=50K
Female;49;White;spouse not present;High School;United-States;Private;Other;<=50K
Male;25;White;spouse not present;High School;United-States;Private;Nontechnical;<=50K
*;57;*;*;*;*;*;*;*
Male;53;White;spouse present;High School;United-States;Private;Technical;<=50K
Female;44;White;spouse not present;Graduate;United-States;Private;Nontechnical;<=50K
Male;41;White;spouse present;Professional Education;United-States;State-gov;Technical;<=50K
Male;29;White;spouse not present;Professional Education;United-States;Private;Technical;<=50K
*;25;*;*;*;*;*;*;*
Female;47;White;spouse present;Professional Education;Honduras;Private;Technical;>50K
Male;50;White;spouse not present;Undergraduate;United-States;Federal-gov;Nontechnical;>50K
Male;47;White;spouse not present;High School;United-States;Self-emp-inc;Nontechnical;<=50K
Male;43;White;spouse present;Undergraduate;United-States;Private;Technical;>50K
Male;46;White;spouse present;Primary School;Mexico;Private;Technical;<=50K
Male;35;White;spouse present;Professional Education;Puerto-Rico;Private;Other;<=50K
Male;41;White;spouse present;High School;United-States;Private;Other;<=50K
Male;30;White;spouse present;High School;United-States;Private;Technical;<=50K
Male;30;White;spouse present;Undergraduate;United-States;Private;Nontechnical;<=50K
Male;48;White;spouse present;High School;United-States;Private;Other;<=50K
Male;42;White;spouse present;Graduate;United-States;Private;Technical;>50K
Male;29;White;spouse not present;Undergraduate;United-States;Private;Technical;<=50K
Male;36;White;spouse present;High School;United-States;Private;Technical;<=50K
Female;28;White;spouse not present;Undergraduate;United-States;Private;Other;<=50K
Female;53;White;spouse present;High School;United-States;Private;Other;>50K
Male;49;White;spouse present;Undergraduate;United-States;Self-emp-inc;Nontechnical;>50K
Male;19;White;spouse not present;Undergraduate;United-States;Private;Technical;<=50K
Female;31;Black;spouse not present;Undergraduate;United-States;Private;Nontechnical;<=50K
