sex; age; race; marital-status; education; native-country; workclass; occupation; salary-class
Male; 35; White; Never-married; Bachelors; United-States; State-gov; Adm-clerical; <=50K
Male; 48; White; Married-civ-spouse; Bachelors; United-States; Self-emp-not-inc; Exec-managerial; <=50K
Male; 36; White; Divorced; HS-grad; United-States; Private; Handlers-cleaners; <=50K
*; *; *; *; *; *; *; *; *
*; *; *; *; *; *; *; *; *
*; *; *; *; *; *; *; *; *
*; *; *; *; *; *; *; *; *
Male; 51; White; Married-civ-spouse; HS-grad; United-States; Self-emp-not-inc; Exec-managerial; >50K
Female; 37; White; Never-married; Masters; United-States; Private; Prof-specialty; >50K
Male; 42; White; Married-civ-spouse; Bachelors; United-States; Private; Exec-managerial; >50K
*; *; *; *; *; *; *; *; *
*; *; *; *; *; *; *; *; *
Female; 28; White; Never-married; Bachelors; United-States; Private; Adm-clerical; <=50K
*; *; *; *; *; *; *; *; *
*; *; *; *; *; *; *; *; *
Male; 32; White; Never-married; HS-grad; United-States; Self-emp-not-inc; Farming-fishing; <=50K
Male; 28; White; Never-married; HS-grad; United-States; Private; Machine-op-inspct; <=50K
Male; 45; White; Married-civ-spouse; 11th; United-States; Private; Sales; <=50K
*; *; *; *; *; *; *; *; *
Male; 46; White; Married-civ-spouse; Doctorate; United-States; Private; Prof-specialty; >50K
Female; 38; Black; Separated; HS-grad; United-States; Private; Other-service; <=50K
*; *; *; *; *; *; *; *; *
Male; 42; White; Married-civ-spouse; 11th; United-States; Private; Transport-moving; <=50K
Female; 42; White; Divorced; HS-grad; United-States; Private; Tech-support; <=50K
*; *; *; *; *; *; *; *; *
Male; 29; White; Never-married; HS-grad; United-States; Private; Craft-repair; <=50K
Male; 39; White; Divorced; HS-grad; United-States; Private; Exec-managerial; <=50K
Male; 39; White; Married-civ-spouse; HS-grad; United-States; Private; Craft-repair; <=50K
*; *; *; *; *; *; *; *; *
Male; 28; Black; Never-married; Some-college; United-States; Private; Sales; <=50K
Male; 43; White; Divorced; Bachelors; United-States; Private; Exec-managerial; <=50K
Male; 43; White; Married-civ-spouse; Some-college; United-States; Federal-gov; Adm-clerical; <=50K
*; *; *; *; *; *; *; *; *
*; *; *; *; *; *; *; *; *
Male; 27; White; Never-married; Some-college; United-States; Private; Machine-op-inspct; <=50K
*; *; *; *; *; *; *; *; *
*; *; *; *; *; *; *; *; *
Male; 43; White; Married-civ-spouse; 9th; United-States; Private; Machine-op-inspct; <=50K
Male; 47; White; Married-civ-spouse; Bachelors; United-States; Self-emp-not-inc; Prof-specialty; <=50K
Male; 38; White; Married-civ-spouse; Bachelors; United-States; Private; Tech-support; <=50K
Female; 38; White; Separated; HS-grad; United-States; Private; Adm-clerical; <=50K
Male; 26; White; Never-married; HS-grad; United-States; Private; Handlers-cleaners; <=50K
*; *; *; *; *; *; *; *; *
Male; 39; White; Married-civ-spouse; HS-grad; United-States; Private; Machine-op-inspct; <=50K
Female; 44; White; Divorced; Masters; United-States; Private; Exec-managerial; <=50K
*; *; *; *; *; *; *; *; *
Male; 30; White; Never-married; Assoc-voc; United-States; Private; Prof-specialty; <=50K
*; *; *; *; *; *; *; *; *
*; *; *; *; *; *; *; *; *
*; *; *; *; *; *; *; *; *
Male; 47; White; Divorced; HS-grad; United-States; Self-emp-inc; Exec-managerial; <=50K
Male; 45; White; Married-civ-spouse; Some-college; United-States; Private; Tech-support; >50K
Male; 42; White; Married-civ-spouse; 5th-6th; Mexico; Private; Machine-op-inspct; <=50K
*; *; *; *; *; *; *; *; *
Male; 41; White; Married-civ-spouse; HS-grad; United-States; Private; Adm-clerical; <=50K
Male; 39; White; Married-civ-spouse; HS-grad; United-States; Private; Machine-op-inspct; <=50K
Male; 40; White; Married-civ-spouse; Bachelors; United-States; Private; Sales; <=50K
Male; 39; White; Married-civ-spouse; HS-grad; United-States; Private; Transport-moving; <=50K
Male; 46; White; Married-civ-spouse; Doctorate; United-States; Private; Prof-specialty; >50K
Male; 37; White; Divorced; Some-college; United-States; Private; Tech-support; <=50K
Male; 39; White; Married-civ-spouse; HS-grad; United-States; Private; Craft-repair; <=50K
Female; 43; White; Divorced; Some-college; United-States; Private; Adm-clerical; <=50K
Female; 39; White; Married-civ-spouse; HS-grad; United-States; Private; Adm-clerical; >50K
Male; 51; White; Married-civ-spouse; Some-college; United-States; Self-emp-inc; Exec-managerial; >50K
Male; 26; White; Never-married; Some-college; United-States; Private; Prof-specialty; <=50K
*; *; *; *; *; *; *; *; *
