age,type_employer,fnlwgt
83,Private,186112
24,Private,197666
41,Private,200671
27,?,280699
26,Private,259138
22,Private,190429
61,Private,40269
31,Private,263110
50,Private,181585
28,State-gov,175409
36,Federal-gov,187089
53,Private,182855
43,Local-gov,216070
46,Self-emp-not-inc,95256
33,Local-gov,93585
53,Private,337195
21,Private,73679
35,Private,99156
18,Private,176653
18,Private,387568
38,Private,333651
31,Private,184307
29,Local-gov,169544
24,Private,230126
68,?,270339
27,Private,215423
43,State-gov,242521
24,Private,154835
21,?,132053
27,Private,78529
21,Private,451996
30,Private,117963
32,Private,408328
26,Private,264300
40,Private,103474
17,Private,141590
37,Private,180714
34,Self-emp-not-inc,174463
29,Private,285290
21,Private,278254
44,Self-emp-inc,78374
58,Self-emp-inc,78104
61,Self-emp-not-inc,133969
21,State-gov,96483
23,Private,223231
31,Private,409172
37,Private,188503
28,Private,173858
27,Private,269444
40,Private,233130
28,Private,103389
36,Self-emp-not-inc,37778
40,Private,168936
25,Private,397317
25,Private,232938
58,Private,119558
20,?,184271
28,Private,108574
17,Private,98675
33,Private,156464
22,Private,267412
34,Private,177437
32,Private,229732
53,Private,104280
27,Private,187392
54,Private,186117
19,Private,456736
40,Private,237671
34,Private,203034
68,Private,32779
30,Private,202051
27,Private,174645
52,Local-gov,146565
32,Private,198452
36,Private,186865
54,Local-gov,105788
31,Private,274222
50,Private,180439
28,Private,149734
31,Private,103573
19,Private,198943
58,Private,205235
34,Private,340458
52,Private,173991
39,Self-emp-inc,33975
57,Local-gov,109973
28,Private,194940
26,Private,124483
31,Private,140206
22,Private,495288
32,Private,49398
38,Local-gov,227154
62,Private,98076
31,Private,173350
30,Private,48520
38,Local-gov,414791
18,Private,301948
30,Private,323054
50,Private,75472
38,Private,153976
34,Self-emp-inc,265917
51,Private,153870
25,Private,124111
40,State-gov,345969
55,Local-gov,31365
23,Private,44793
25,Private,167835
46,Private,181810
35,Private,340018
19,?,138153
27,Private,249315
42,Private,190403
33,Private,101352
35,Self-emp-not-inc,228493
48,Private,195437
30,Private,460408
44,Private,215479
53,Private,132304
26,Private,136226
55,Private,189664
36,Private,106471
45,Private,98092
31,Private,137952
44,Private,288433
54,Private,96792
32,Private,160594
28,Private,181291
33,Federal-gov,159548
30,Private,36340
56,Private,172071
46,Private,192208
23,Local-gov,117789
80,?,29020
31,Private,45781
55,Private,224655
37,State-gov,164898
54,Private,294991
44,Private,45363
54,Self-emp-inc,129432
35,Private,207066
31,Private,180656
46,Private,138999
38,Private,216845
29,Private,173789
38,Private,185203
58,Private,417419
23,Private,204209
49,Private,233639
31,Private,191834
46,Local-gov,238162
35,Self-emp-inc,82051
51,Local-gov,349431
76,Private,243768
43,Private,580591
19,Private,208066
49,Private,169092
39,Local-gov,170263
56,Private,89698
29,Private,221233
31,Private,221167
42,Self-emp-not-inc,29320
35,Private,181382
75,Private,71385
30,Private,308812
20,Private,259301
28,Private,87632
40,Private,226585
26,Private,311743
38,Private,33001
20,Private,194848
83,Self-emp-inc,153183
30,State-gov,111883
39,Self-emp-not-inc,360814
44,Private,203897
32,Private,288229
28,Private,204600
21,Private,313873
25,Private,258379
60,Private,101096
23,Private,137994
74,?,41737
42,Self-emp-not-inc,344624
43,Private,161226
45,Private,168283
29,Local-gov,30069
50,Local-gov,168672
54,Private,194580
51,Self-emp-not-inc,240236
36,Private,180667
36,Private,208358
38,Private,99388
51,Local-gov,259646
34,Local-gov,211239
20,Private,228960
43,Self-emp-not-inc,116632
61,Private,142922
40,Private,404573
33,Private,40681
46,Local-gov,301124
19,Private,190817
37,Private,191137
67,Private,221281
45,State-gov,72896
21,Private,370990
33,Federal-gov,94193
48,Private,373366
26,Local-gov,337867
43,State-gov,28451
33,Private,170769
30,Private,375827
27,Private,189530
58,?,347692
27,Private,118799
37,Self-emp-not-inc,29054
22,Private,270436
41,Self-emp-not-inc,142725
45,Private,361842
34,Private,34374
34,Private,21755
37,Private,109133
48,Private,176917
33,Private,192663
26,Private,89326
24,Private,353010
28,Self-emp-not-inc,38079
41,Private,163287
26,Private,202203
89,?,29106
37,Private,162651
23,Private,216867
27,Private,147340
49,State-gov,231961
53,Private,95519
25,Private,122999
49,Private,723746
27,Private,119793
47,Private,52795
35,Self-emp-not-inc,241469
61,Local-gov,34632
43,?,174662
34,Private,100669
50,Self-emp-not-inc,34067
34,Private,169496
54,Private,74660
38,Private,99783
34,Private,75454
33,Private,51543
29,Local-gov,141005
40,Private,190044
21,Private,64520
30,Private,198183
49,Private,240629
52,Private,101752
38,Private,81846
55,Local-gov,166502
52,Private,187356
25,Private,232991
28,Private,125531
19,Local-gov,273187
53,Private,85423
67,Self-emp-inc,273239
25,Private,222539
19,Private,219300
17,?,235661
32,Private,114937
38,Private,114591
52,Private,180062
52,Private,94448
24,Local-gov,117109
34,Private,87218
19,Private,299050
36,Local-gov,116892
31,Private,225053
25,Private,101812
18,Private,182701
47,Private,175600
40,Private,201495
30,Federal-gov,76313
76,Local-gov,259612
28,Private,496526
38,Federal-gov,47707
41,Private,319271
23,Private,152140
77,?,153113
40,Private,339814
53,Private,479621
21,Private,132320
24,Private,117789
25,Private,25497
62,Private,116812
41,Self-emp-not-inc,113324
61,Federal-gov,178312
51,Local-gov,153908
46,Private,269034
45,State-gov,103406
26,Private,191797
66,Private,284021
32,Private,278940
25,Private,200408
50,Private,89534
62,Private,147627
25,Private,173593
52,Private,150812
43,Private,122473
21,Private,133582
46,Private,213140
19,Private,187724
29,Private,266583
30,Private,310889
27,Private,167737
33,Private,106014
68,Private,223486
24,Private,339602
53,Self-emp-not-inc,122109
33,Private,176185
50,State-gov,97778
58,?,353244
18,Private,117857
34,Local-gov,220066
36,Private,239755
72,?,113044
33,Private,162572
61,?,265201
46,Private,202606
17,Private,176017
33,Private,45796
29,Private,77322
50,Private,263200
56,?,192325
39,Local-gov,316582
35,Self-emp-not-inc,89508
17,Private,173740
18,Private,36251
33,Self-emp-not-inc,37232
34,Private,24361
22,?,210802
45,Private,242994
52,Private,317625
42,Private,33002
33,Federal-gov,391122
50,Private,274528
45,Private,199058
72,Federal-gov,39110
52,Private,117496
58,Private,218724
55,Private,256796
39,Private,30875
34,Private,144949
43,Private,63503
38,Private,107303
17,Private,228399
39,Private,316211
50,Self-emp-not-inc,156606
40,Local-gov,33274
46,Private,59287
37,Self-emp-inc,183800
49,Private,72393
20,Private,103277
77,Private,271000
45,State-gov,164593
46,State-gov,192779
35,?,169809
58,Private,236596
35,Private,77792
50,Private,200325
24,Private,166827
22,State-gov,309348
57,Federal-gov,21626
46,Private,234690
32,Private,172402
19,?,217769
43,Private,260761
31,Private,103596
24,?,390608
28,Private,42881
32,Private,426431
25,Private,212302
52,Private,191529
59,Self-emp-not-inc,211678
23,Private,122272
37,Private,170718
35,Private,56201
41,Private,24763
44,Self-emp-not-inc,127482
