age,type_employer,fnlwgt
37,Private,253575
53,Private,98793
17,Private,147930
30,Private,111721
40,?,177005
34,Private,224424
36,?,277607
25,State-gov,74028
56,Federal-gov,352595
46,Private,268637
19,Private,198715
29,?,547565
33,Private,121468
22,Local-gov,109099
43,Self-emp-not-inc,157380
25,Private,140096
31,Private,52104
40,Private,272885
53,?,178417
24,Private,220471
59,Local-gov,202256
41,Local-gov,166597
32,Private,146225
31,Federal-gov,178239
23,Private,140596
29,Private,343162
19,Private,161466
30,Private,185114
50,Private,247861
30,Private,80936
58,Private,127112
64,Private,243808
45,Private,173104
31,Private,162119
58,Federal-gov,85806
54,Private,118630
22,?,198447
40,Private,164429
32,?,127066
18,Private,383177
21,Private,204055
48,Private,315903
34,Private,124407
29,Private,188334
24,Private,297054
24,Private,149817
28,Private,54949
26,Private,359188
28,Private,315057
29,Federal-gov,190858
57,Private,207349
40,Private,147910
29,Private,67323
37,Private,121556
49,Private,56937
26,Private,208671
25,Private,153973
22,Private,236873
60,Private,227503
41,Private,372388
25,Private,143356
39,Private,146257
26,Private,299245
53,Self-emp-not-inc,150692
31,Private,180047
59,Private,155110
51,Federal-gov,100901
34,?,265598
48,Private,130278
43,Local-gov,214616
41,Private,57290
38,Private,136533
41,Private,115374
27,Private,174519
45,Private,183183
19,Local-gov,314321
24,Private,195003
64,?,111619
29,Federal-gov,155374
55,Private,209543
30,Private,107167
17,Private,362086
48,Private,207773
30,Private,62089
56,Private,203075
32,Private,254748
60,Private,175041
19,Private,747492
20,Private,98910
20,Private,32382
31,Private,103453
17,?,73888
22,Private,71998
26,Private,118314
53,Private,109328
27,Private,94918
30,Private,175371
43,Private,169180
48,Private,158602
26,Private,360279
40,Local-gov,168149
40,Private,128200
79,Self-emp-inc,154519
44,Private,200598
21,?,136629
64,Private,101361
58,Private,99912
60,Private,145383
34,Self-emp-inc,206151
33,Private,157893
28,Private,109973
63,Self-emp-not-inc,220279
23,Local-gov,276849
48,Local-gov,106973
72,Private,111090
36,Private,170926
19,Private,95892
45,Self-emp-inc,115765
53,Federal-gov,176068
21,?,138560
30,Private,174341
31,Private,293607
42,Local-gov,187486
57,Private,169697
17,Private,190215
49,?,248059
29,Local-gov,403226
40,Private,221483
38,Self-emp-not-inc,103274
25,Private,83242
41,Private,118494
26,Private,296870
41,Self-emp-inc,135060
29,Private,172715
28,Private,196304
30,Local-gov,208408
47,Self-emp-not-inc,113047
22,?,171233
29,Local-gov,154659
36,Private,76107
38,Self-emp-inc,335896
30,Private,248139
21,Private,307905
54,Local-gov,108146
20,Local-gov,677022
31,Private,117865
35,?,240510
44,Local-gov,179337
46,Private,405593
62,Self-emp-inc,183923
24,Private,184130
37,Private,213232
25,Private,277619
44,Private,49325
40,Private,229664
62,Private,91133
52,Private,136938
57,Self-emp-inc,29534
46,Private,266293
28,Private,276503
27,Private,232080
43,Local-gov,137604
42,Private,179517
70,Federal-gov,85070
42,Private,149045
38,Private,26900
77,Private,240041
57,Private,95979
21,Private,164807
58,Private,107862
30,State-gov,192594
47,Federal-gov,142590
21,Private,129339
35,Self-emp-not-inc,247552
61,Private,94894
19,Private,186024
76,Private,56558
20,Private,207545
48,Private,50683
47,Federal-gov,190054
37,Private,96905
44,Private,188094
49,Private,135186
30,Private,221957
25,Private,376948
33,Local-gov,239354
63,Self-emp-inc,102682
56,Private,141643
31,Private,165340
20,Private,389464
45,Private,197725
40,Federal-gov,71020
31,Private,40486
29,Private,326599
29,Private,208084
39,Private,42511
25,?,387715
53,Private,217172
18,?,178187
28,Private,25468
33,Private,191403
49,Private,405848
60,Private,97990
29,Private,181478
47,Federal-gov,54425
35,Private,225211
46,Without-pay,263145
38,?,27021
45,Private,193581
24,Private,137665
19,?,41173
23,Private,117784
53,Self-emp-inc,172333
40,Private,122657
18,?,42476
40,Local-gov,35152
53,Local-gov,156068
43,Local-gov,356971
34,Private,226436
39,Local-gov,210364
47,Self-emp-inc,77535
46,Private,660659
22,Private,343550
26,Private,175653
31,Local-gov,39199
29,?,215042
33,Private,125025
44,Private,44932
50,Private,48602
58,Federal-gov,183793
69,Self-emp-inc,319752
60,Self-emp-inc,37278
47,Private,310104
25,Private,114876
22,Private,131405
32,Self-emp-inc,261248
35,?,209849
23,Private,159754
51,Private,109606
24,?,171383
27,Private,231440
41,Local-gov,276700
31,Private,180898
41,Private,143829
59,Local-gov,254124
49,Self-emp-inc,161445
34,Private,87611
26,Private,36048
38,Private,138436
29,Local-gov,166600
57,Self-emp-inc,240800
23,Private,31725
33,Private,203928
42,Private,135157
34,Private,246603
31,Private,276218
35,Self-emp-not-inc,228122
18,?,26557
23,?,354237
41,Private,77839
60,Local-gov,257065
34,?,120433
24,Local-gov,32171
23,Private,39413
58,Local-gov,138984
31,Private,114975
51,Local-gov,328070
73,Self-emp-not-inc,206134
31,Local-gov,15620
22,Private,397356
17,Local-gov,47631
58,Private,183540
