age,type_employer,fnlwgt
53,Self-emp-not-inc,138022
31,Private,344200
28,Private,242482
26,Private,193165
27,Private,267989
44,Private,106698
39,Self-emp-not-inc,142573
17,Private,221403
28,Local-gov,336951
48,Private,229846
26,Private,53598
33,Private,205469
46,Private,20534
54,State-gov,44172
43,?,214541
34,Self-emp-inc,207668
40,Private,140559
30,Federal-gov,243233
20,Private,244406
26,Private,124068
55,Private,303090
22,Private,412316
21,Private,351084
39,Private,30673
40,Private,236110
37,?,50862
24,?,67586
43,Private,206927
39,Private,280570
30,Private,147596
56,Private,225927
41,Private,275446
32,Self-emp-not-inc,321313
19,Private,109854
44,Private,89413
36,Private,272950
43,Local-gov,225978
63,Self-emp-not-inc,167501
40,Private,206066
24,Private,225724
31,Private,139822
39,Private,365009
33,Local-gov,162623
40,Private,186916
34,Self-emp-inc,198613
31,Private,197689
46,Self-emp-inc,218890
43,Private,171841
55,Private,320835
33,Private,150570
49,Private,153536
45,Private,243743
53,Private,92968
34,Self-emp-not-inc,201292
28,Private,96219
38,Private,120053
45,Private,162494
40,Private,225660
41,Private,190205
44,State-gov,167265
30,Self-emp-not-inc,113364
22,Private,181773
19,Private,43285
53,Private,22978
46,Federal-gov,268281
43,Private,239161
22,Local-gov,163205
64,Private,239450
31,Private,159187
63,Private,86108
47,Private,343579
30,Local-gov,177828
47,Private,233511
34,Private,127195
33,Local-gov,262042
41,Private,56651
27,Local-gov,24988
35,Private,30529
27,Private,336162
65,State-gov,42488
23,Private,434467
47,Private,137354
45,Private,390368
47,Private,182655
27,Private,107812
40,Private,273425
49,Private,38563
17,Private,52012
43,Private,214781
49,Self-emp-not-inc,36601
25,Private,190350
39,Self-emp-inc,216473
56,Federal-gov,67153
24,Self-emp-not-inc,37440
21,Private,130534
32,Private,96016
63,Private,225102
46,Private,261059
49,Private,323798
34,Self-emp-not-inc,254304
44,Private,163331
26,Self-emp-inc,177951
22,State-gov,134192
22,Private,205940
34,Private,145231
39,Private,746786
20,Self-emp-not-inc,428299
19,Private,282698
20,Private,299047
25,Private,120238
23,Private,126346
49,Private,188515
30,Private,232356
46,Private,248059
27,Self-emp-not-inc,357283
28,Private,59335
31,Private,157078
23,Private,181796
19,Private,28145
42,Local-gov,19700
24,Private,90934
27,Private,517000
42,Private,397346
52,Private,167794
53,Private,123092
73,?,84390
17,Private,28031
40,Private,191342
34,Private,101345
40,Private,33895
57,Local-gov,139452
17,?,48703
41,Private,217902
50,Local-gov,311551
41,Private,125831
48,Self-emp-not-inc,56841
22,Local-gov,134181
43,Private,199657
43,Private,972354
33,Self-emp-not-inc,189265
34,Private,64830
20,Private,334633
